ID,fixed acidity,wine type,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
74,7.9,white,0.21,0.39,2.0,0.057,21.0,138.0,0.99176,3.05,0.52,10.9,5
75,5.9,white,0.23,0.3,12.9,0.054,57.0,170.0,0.9972,3.28,0.39,9.4,5
76,10.4,red,0.41,0.55,3.2,0.076,22.0,54.0,0.9996,3.15,0.89,9.9,6
77,5.9,white,0.24,0.3,2.0,0.033,28.0,92.0,0.99225,3.39,0.69,10.9,7
78,12.6,red,0.39,0.49,2.5,0.08,8.0,20.0,0.9992,3.07,0.82,10.3,6
79,7.5,white,0.18,0.45,4.6,0.041,67.0,158.0,0.9927,3.01,0.38,10.6,6
80,8.1,red,0.53,0.22,2.2,0.078,33.0,89.0,0.99678,3.26,0.46,9.6,6
81,6.3,white,0.48,0.48,1.8,0.035,35.0,96.0,0.99121,3.49,0.74,12.2,6
82,6.0,white,0.32,0.3,7.3,0.174,46.0,159.0,0.99519,3.18,0.49,9.4,5
83,7.4,red,1.185,0.0,4.25,0.097,5.0,14.0,0.9966,3.63,0.54,10.7,3
84,7.9,white,0.17,0.32,1.6,0.053,47.0,150.0,0.9948,3.29,0.76,9.6,6
85,6.4,white,0.23,0.27,2.1,0.042,35.0,100.0,0.99094,3.03,0.63,10.9,6
86,4.8,white,0.65,0.12,1.1,0.013,4.0,10.0,0.99246,3.32,0.36,13.5,4
87,8.8,red,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5
88,6.4,red,0.865,0.03,3.2,0.071,27.0,58.0,0.995,3.61,0.49,12.7,6
89,6.9,white,0.22,0.32,9.3,0.04,22.0,110.0,0.9958,3.34,0.54,10.7,7
90,7.3,red,0.69,0.32,2.2,0.069,35.0,104.0,0.99632,3.33,0.51,9.5,5
91,6.2,white,0.3,0.17,2.8,0.04,24.0,125.0,0.9939,3.01,0.46,9.0,5
92,7.2,white,0.26,0.32,10.4,0.062,23.0,114.0,0.9966,3.23,0.49,10.5,5
93,6.8,white,0.11,0.42,1.1,0.042,51.0,132.0,0.99059,3.18,0.74,11.3,7
94,7.5,red,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5
95,6.8,white,0.21,0.31,2.9,0.046,40.0,121.0,0.9913,3.07,0.65,10.9,7
96,6.2,white,0.25,0.54,7.0,0.046,58.0,176.0,0.99454,3.19,0.7,10.4,5
97,6.4,white,0.15,0.4,1.3,0.053,61.0,146.0,0.99112,3.17,0.68,11.0,6
98,6.4,white,0.2,0.15,6.6,0.046,26.0,113.0,0.99408,2.99,0.58,9.9,6
99,8.0,red,0.43,0.36,2.3,0.075,10.0,48.0,0.9976,3.34,0.46,9.4,5
100,8.2,white,0.24,0.49,9.3,0.038,52.0,163.0,0.9952,3.02,0.33,10.6,6
101,6.9,red,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6
102,7.0,white,0.27,0.32,6.8,0.047,47.0,193.0,0.9938,3.23,0.39,11.4,6
103,7.6,white,0.27,0.42,2.6,0.044,29.0,110.0,0.9912,3.31,0.51,12.7,6
104,8.0,white,0.25,0.26,14.0,0.043,41.0,248.0,0.9986,3.03,0.57,8.7,6
105,8.0,white,0.4,0.33,7.7,0.034,27.0,98.0,0.9935,3.18,0.41,12.2,7
106,6.2,white,0.24,0.28,12.2,0.049,54.0,133.0,0.9952,3.19,0.37,10.7,6
107,8.6,red,0.53,0.22,2.0,0.1,7.0,27.0,0.9967,3.2,0.56,10.2,6
108,7.2,white,0.2,0.31,10.0,0.054,49.0,165.0,0.997,3.4,0.42,9.9,6
109,7.8,white,0.2,0.2,1.4,0.036,25.0,83.0,0.99088,3.03,0.46,11.7,6
110,5.9,white,0.2,0.4,1.3,0.047,23.0,92.0,0.99232,3.2,0.45,10.0,6
111,6.7,white,0.29,0.45,14.3,0.054,30.0,181.0,0.99869,3.14,0.57,9.1,5
112,6.6,white,0.31,0.28,1.4,0.035,28.0,107.0,0.98836,3.0,0.4,13.2,6
113,7.3,white,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,3.25,0.4,11.9,8
114,8.9,red,0.12,0.45,1.8,0.075,10.0,21.0,0.99552,3.41,0.76,11.9,7
115,6.5,white,0.22,0.19,1.1,0.064,36.0,191.0,0.99297,3.05,0.5,9.5,6
116,6.7,white,0.15,0.32,7.9,0.034,17.0,81.0,0.99512,3.29,0.31,10.0,6
117,8.1,white,0.31,0.36,8.2,0.028,29.0,142.0,0.9925,3.01,0.34,13.0,7
118,7.6,white,0.31,0.27,5.8,0.036,23.0,109.0,0.99399,3.34,0.54,11.0,6
119,7.9,red,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5
120,7.2,white,0.24,0.27,11.4,0.034,40.0,174.0,0.99773,3.2,0.44,9.0,5
121,6.9,white,0.3,0.33,4.1,0.035,26.0,155.0,0.9925,3.25,0.79,12.3,8
122,7.2,white,0.32,0.47,5.1,0.044,19.0,65.0,0.991,3.03,0.41,12.6,4
123,7.4,white,0.34,0.42,1.1,0.033,17.0,171.0,0.9917,3.12,0.53,11.3,6
124,6.8,white,0.33,0.3,2.1,0.047,35.0,147.0,0.9886,3.24,0.56,13.4,6
125,6.4,white,0.15,0.29,1.8,0.044,21.0,115.0,0.99166,3.1,0.38,10.2,5
126,7.4,white,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,3.14,0.49,9.1,7
127,6.3,white,0.2,0.4,1.5,0.037,35.0,107.0,0.9917,3.46,0.5,11.4,6
128,6.8,white,0.32,0.43,1.6,0.05,4.0,65.0,0.99346,3.27,0.47,10.7,5
129,6.4,white,0.29,0.3,2.9,0.036,25.0,79.0,0.99037,3.29,0.6,12.4,7
130,6.7,white,0.28,0.34,8.9,0.048,32.0,111.0,0.99455,3.25,0.54,11.0,7
131,6.4,white,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6
132,7.5,white,0.29,0.36,15.7,0.05,29.0,124.0,0.9968,3.06,0.54,10.4,5
133,7.1,white,0.18,0.32,12.2,0.048,36.0,125.0,0.9967,2.92,0.54,9.4,6
134,6.6,white,0.35,0.34,4.9,0.032,9.0,125.0,0.99253,3.32,0.81,12.0,5
135,10.9,red,0.37,0.58,4.0,0.071,17.0,65.0,0.99935,3.22,0.78,10.1,5
136,7.4,white,0.16,0.3,13.7,0.056,33.0,168.0,0.99825,2.9,0.44,8.7,7
137,6.7,white,0.21,0.34,1.4,0.049,36.0,112.0,0.99091,3.02,0.5,11.0,6
138,6.7,white,0.25,0.33,2.9,0.057,52.0,173.0,0.9934,3.02,0.48,9.5,7
139,6.8,white,0.18,0.38,1.4,0.038,35.0,111.0,0.9918,3.32,0.59,11.2,7
140,7.1,white,0.23,0.28,1.9,0.046,33.0,103.0,0.98997,3.12,0.31,12.0,5
141,7.1,white,0.18,0.32,12.2,0.048,36.0,125.0,0.9967,2.92,0.54,9.4,6
142,7.7,red,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5
143,7.2,white,0.21,0.36,15.7,0.045,68.0,183.0,0.99922,3.25,0.76,9.4,5
144,6.2,white,0.25,0.28,8.5,0.035,28.0,108.0,0.99486,3.4,0.42,10.4,6
145,5.8,white,0.345,0.15,10.8,0.033,26.0,120.0,0.99494,3.25,0.49,10.0,6
146,9.7,red,0.53,0.6,2.0,0.039,5.0,19.0,0.99585,3.3,0.86,12.4,6
147,6.1,white,0.44,0.28,4.25,0.032,43.0,132.0,0.9916,3.26,0.47,11.3,7
148,7.2,red,0.66,0.03,2.3,0.078,16.0,86.0,0.99743,3.53,0.57,9.7,5
149,7.5,white,0.38,0.29,4.9,0.021,38.0,113.0,0.99026,3.08,0.48,13.0,7
150,6.5,white,0.26,0.24,10.8,0.042,47.0,130.0,0.996,3.08,0.4,10.1,6
151,6.8,white,0.45,0.28,26.05,0.031,27.0,122.0,1.00295,3.06,0.42,10.6,6
152,6.6,white,0.33,0.41,2.0,0.027,14.0,79.0,0.99063,3.27,0.63,12.4,6
153,7.5,white,0.42,0.2,1.4,0.06,15.0,168.0,0.9944,3.06,0.4,9.4,6
154,6.0,white,0.2,0.38,1.3,0.034,37.0,104.0,0.98865,3.11,0.52,12.7,6
155,8.6,red,0.83,0.0,2.8,0.095,17.0,43.0,0.99822,3.33,0.6,10.4,6
156,6.5,white,0.35,0.28,12.4,0.051,86.0,213.0,0.9962,3.16,0.51,9.9,6
157,6.4,white,0.31,0.39,7.5,0.04,57.0,213.0,0.99475,3.32,0.43,10.0,5
158,7.1,white,0.34,0.32,2.0,0.051,29.0,130.0,0.99354,3.3,0.5,10.4,6
159,6.8,white,0.19,0.32,7.05,0.019,54.0,188.0,0.9935,3.25,0.37,11.1,8
160,5.2,white,0.155,0.33,1.6,0.028,13.0,59.0,0.98975,3.3,0.84,11.9,8
161,6.8,white,0.14,0.18,1.4,0.047,30.0,90.0,0.99164,3.27,0.54,11.2,6
162,7.3,white,0.32,0.23,13.7,0.05,49.0,197.0,0.9985,3.2,0.46,8.7,5
163,8.9,white,0.33,0.32,1.5,0.047,11.0,200.0,0.9954,3.19,0.46,9.4,5
164,6.4,white,0.26,0.24,6.4,0.04,27.0,124.0,0.9903,3.22,0.49,12.6,7
165,7.3,white,0.13,0.27,4.6,0.08,34.0,172.0,0.9938,3.23,0.39,11.1,7
166,6.9,white,0.25,0.29,2.4,0.038,28.0,76.0,0.99088,3.01,0.36,11.7,7
167,6.9,white,0.38,0.29,13.65,0.048,52.0,189.0,0.99784,3.0,0.6,9.5,6
168,6.4,white,0.32,0.23,16.2,0.055,36.0,176.0,0.9986,3.26,0.54,9.1,5
169,7.6,white,0.21,0.35,1.2,0.041,7.0,106.0,0.9914,3.06,0.45,11.3,4
170,7.0,white,0.39,0.21,10.7,0.098,13.0,91.0,0.99657,3.03,0.47,9.3,5
171,6.2,white,0.35,0.2,18.1,0.069,33.0,158.0,0.99908,3.15,0.5,8.8,6
172,7.3,white,0.19,0.24,6.3,0.054,34.0,231.0,0.9964,3.36,0.54,10.0,6
173,5.7,white,0.255,0.65,1.2,0.079,17.0,137.0,0.99307,3.2,0.42,9.4,5
174,5.4,white,0.46,0.15,2.1,0.026,29.0,130.0,0.98953,3.39,0.77,13.4,8
175,7.8,white,0.15,0.34,1.1,0.035,31.0,93.0,0.99096,3.07,0.72,11.3,7
176,7.9,white,0.35,0.28,12.9,0.032,13.0,63.0,0.9932,2.99,0.43,13.0,6
177,7.3,white,0.39,0.37,1.1,0.043,36.0,113.0,0.991,3.39,0.48,12.7,8
178,8.3,red,0.43,0.3,3.4,0.079,7.0,34.0,0.99788,3.36,0.61,10.5,5
179,6.3,white,0.29,0.23,14.2,0.037,24.0,99.0,0.99528,3.08,0.38,10.6,6
180,6.7,white,0.33,0.42,6.4,0.058,27.0,151.0,0.9954,3.16,0.44,9.6,5
181,7.8,red,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5
182,5.9,white,0.19,0.26,7.4,0.034,33.0,123.0,0.995,3.49,0.42,10.1,6
183,8.4,red,0.52,0.22,2.7,0.084,4.0,18.0,0.99682,3.26,0.57,9.9,6
184,7.3,white,0.4,0.28,6.5,0.037,26.0,97.0,0.99148,3.16,0.58,12.6,7
185,8.7,red,0.7,0.24,2.5,0.226,5.0,15.0,0.9991,3.32,0.6,9.0,6
186,8.9,white,0.3,0.35,4.6,0.032,32.0,148.0,0.99458,3.15,0.45,11.5,7
187,7.0,white,0.35,0.24,1.9,0.04,21.0,144.0,0.9923,3.35,0.38,11.0,5
188,6.6,white,0.13,0.3,4.9,0.058,47.0,131.0,0.9946,3.51,0.45,10.3,6
189,9.4,red,0.27,0.53,2.4,0.074,6.0,18.0,0.9962,3.2,1.13,12.0,7
190,6.9,white,0.19,0.35,1.7,0.036,33.0,101.0,0.99315,3.21,0.54,10.8,7
191,9.4,red,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6
192,7.1,white,0.18,0.39,14.5,0.051,48.0,156.0,0.99947,3.35,0.78,9.1,5
193,5.8,white,0.12,0.21,1.3,0.056,35.0,121.0,0.9908,3.32,0.33,11.4,6
194,6.4,white,0.31,0.4,6.2,0.04,46.0,169.0,0.9953,3.15,0.46,9.3,6
195,7.9,white,0.255,0.26,2.0,0.026,40.0,190.0,0.9932,3.04,0.39,11.2,6
196,6.9,white,0.24,0.4,15.4,0.052,81.0,198.0,0.9986,3.2,0.69,9.4,5
197,8.8,white,0.33,0.44,6.35,0.024,9.0,87.0,0.9917,2.96,0.4,12.6,7
198,5.8,white,0.17,0.34,1.8,0.045,96.0,170.0,0.99035,3.38,0.9,11.8,8
199,8.7,red,0.69,0.31,3.0,0.086,23.0,81.0,1.0002,3.48,0.74,11.6,6
200,7.5,white,0.34,0.24,3.85,0.031,5.0,34.0,0.99098,3.01,0.36,11.8,4
201,6.7,white,0.31,0.32,14.5,0.038,6.0,79.0,0.99412,3.14,0.34,12.5,5
202,7.4,white,0.18,0.3,8.8,0.064,26.0,103.0,0.9961,2.94,0.56,9.3,5
203,7.0,red,0.65,0.02,2.1,0.066,8.0,25.0,0.9972,3.47,0.67,9.5,6
204,5.7,white,0.265,0.28,6.9,0.036,46.0,150.0,0.99299,3.36,0.44,10.8,7
205,6.0,red,0.5,0.0,1.4,0.057,15.0,26.0,0.99448,3.36,0.45,9.5,5
206,6.9,white,0.615,0.42,12.0,0.067,24.0,131.0,0.99727,3.19,0.34,9.3,5
207,6.6,white,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,3.54,0.52,12.4,7
208,6.4,white,0.16,0.44,1.2,0.051,39.0,122.0,0.99058,3.11,0.75,11.3,7
209,7.3,white,0.22,0.31,2.3,0.018,45.0,80.0,0.98936,3.06,0.34,12.9,7
210,7.4,red,0.6,0.26,2.1,0.083,17.0,91.0,0.99616,3.29,0.56,9.8,6
211,9.4,white,0.29,0.55,2.2,0.05,17.0,119.0,0.9962,3.12,0.69,10.3,4
212,6.4,white,0.29,0.21,9.65,0.041,36.0,119.0,0.99334,2.99,0.34,10.9333333333333,6
213,6.3,white,0.26,0.42,7.1,0.045,62.0,209.0,0.99544,3.2,0.53,9.5,6
214,6.8,white,0.27,0.12,1.3,0.04,87.0,168.0,0.992,3.18,0.41,10.0,5
215,6.6,white,0.29,0.39,6.75,0.031,22.0,98.0,0.9913,3.15,0.8,12.9,7
216,8.1,red,0.825,0.24,2.1,0.084,5.0,13.0,0.9972,3.37,0.77,10.7,6
217,7.1,white,0.21,0.28,2.7,0.034,23.0,111.0,0.99405,3.35,0.64,10.2,4
218,8.6,red,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6
219,5.9,white,0.28,0.39,1.4,0.031,47.0,147.0,0.98836,3.08,0.64,12.9,7
220,6.9,white,0.38,0.29,13.65,0.048,52.0,189.0,0.99784,3.0,0.6,9.5,6
221,5.2,white,0.44,0.04,1.4,0.036,43.0,119.0,0.9894,3.36,0.33,12.1,8
222,6.4,white,0.32,0.26,7.9,0.05,53.0,180.0,0.99514,3.14,0.5,9.6,5
223,10.6,red,0.36,0.59,2.2,0.152,6.0,18.0,0.9986,3.04,1.05,9.4,5
224,7.3,red,0.48,0.32,2.1,0.062,31.0,54.0,0.99728,3.3,0.65,10.0,7
225,8.1,white,0.33,0.36,7.4,0.037,36.0,156.0,0.99592,3.19,0.54,10.6,6
226,9.1,red,0.795,0.0,2.6,0.096,11.0,26.0,0.9994,3.35,0.83,9.4,6
227,6.4,white,0.22,0.34,1.4,0.023,56.0,115.0,0.98958,3.18,0.7,11.7,6
228,7.2,white,0.27,0.27,2.4,0.048,30.0,149.0,0.9936,3.1,0.51,9.2,6
229,6.9,white,0.32,0.26,2.3,0.03,11.0,103.0,0.99106,3.06,0.42,11.1,6
230,10.6,red,0.36,0.57,2.3,0.087,6.0,20.0,0.99676,3.14,0.72,11.1,7
231,7.5,red,0.58,0.2,2.0,0.073,34.0,44.0,0.99494,3.1,0.43,9.3,5
232,11.1,red,0.35,0.48,3.1,0.09,5.0,21.0,0.9986,3.17,0.53,10.5,5
233,7.6,white,0.19,0.41,1.1,0.04,38.0,143.0,0.9907,2.92,0.42,11.4,5
234,7.4,white,0.24,0.42,14.0,0.066,48.0,198.0,0.9979,2.89,0.42,8.9,6
235,4.8,white,0.17,0.28,2.9,0.03,22.0,111.0,0.9902,3.38,0.34,11.3,7
236,8.0,red,0.67,0.3,2.0,0.06,38.0,62.0,0.9958,3.26,0.56,10.2,6
237,8.9,red,0.75,0.14,2.5,0.086,9.0,30.0,0.99824,3.34,0.64,10.5,5
238,7.5,white,0.38,0.5,12.8,0.042,57.0,184.0,0.9984,3.09,0.46,9.0,6
239,7.5,white,0.18,0.72,9.6,0.039,53.0,151.0,0.99802,3.03,0.46,8.9,5
240,8.4,red,0.56,0.04,2.0,0.082,10.0,22.0,0.9976,3.22,0.44,9.6,5
241,6.3,white,0.26,0.25,5.2,0.046,11.0,133.0,0.99202,2.97,0.68,11.0,6
242,7.5,red,0.4,0.12,3.0,0.092,29.0,53.0,0.9967,3.37,0.7,10.3,6
243,6.6,white,0.38,0.36,9.2,0.061,42.0,214.0,0.9976,3.31,0.56,9.4,5
244,7.8,red,0.59,0.33,2.0,0.074,24.0,120.0,0.9968,3.25,0.54,9.4,5
245,6.1,white,0.26,0.28,1.7,0.043,24.0,98.0,0.98918,3.14,0.44,12.5,6
246,6.5,white,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,7
247,8.4,red,0.59,0.29,2.6,0.109,31.0,119.0,0.99801,3.15,0.5,9.1,5
248,7.5,white,0.42,0.19,6.9,0.041,62.0,150.0,0.99508,3.23,0.37,10.0,6
249,7.6,white,0.54,0.23,2.0,0.029,13.0,151.0,0.9931,3.04,0.33,10.4,5
250,5.9,white,0.3,0.47,7.85,0.03,19.0,133.0,0.9933,3.52,0.43,11.5,7
251,6.4,white,0.23,0.32,1.9,0.038,40.0,118.0,0.99074,3.32,0.53,11.8,7
252,8.2,white,0.23,0.4,7.5,0.049,12.0,76.0,0.9966,3.06,0.84,9.7,6
253,6.8,white,0.26,0.26,2.0,0.019,23.5,72.0,0.99041,3.16,0.47,11.8,6
254,7.2,white,0.39,0.54,1.4,0.157,34.0,132.0,0.99449,3.11,0.53,9.0,6
255,8.8,red,0.24,0.35,1.7,0.055,13.0,27.0,0.99394,3.14,0.59,11.3,7
256,6.6,white,0.26,0.46,7.8,0.047,48.0,186.0,0.9958,3.2,0.54,9.1,5
257,7.0,white,0.33,0.78,9.9,0.042,21.0,251.0,0.99435,3.01,0.55,11.0,6
258,6.3,white,0.3,0.28,5.0,0.042,36.0,168.0,0.99505,3.22,0.69,9.5,6
259,7.3,white,0.24,0.34,15.4,0.05,38.0,174.0,0.9983,3.03,0.42,9.0,6
260,5.2,white,0.3,0.34,1.5,0.038,18.0,96.0,0.98942,3.56,0.48,13.0,8
261,6.4,white,0.28,0.29,1.6,0.052,34.0,127.0,0.9929,3.48,0.56,10.5,7
262,6.8,white,0.18,0.37,1.6,0.055,47.0,154.0,0.9934,3.08,0.45,9.1,5
263,6.7,white,0.37,0.25,2.5,0.028,24.0,84.0,0.9909,3.14,0.36,11.7,6
264,7.5,red,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7
265,7.5,white,0.26,0.52,13.2,0.047,64.0,179.0,0.9982,3.1,0.46,9.0,5
266,6.7,white,0.64,0.3,1.2,0.03,18.0,76.0,0.9892,3.16,0.6,12.9,4
267,7.4,white,0.44,0.2,11.5,0.049,44.0,157.0,0.998,3.27,0.44,9.0,5
268,7.4,white,0.16,0.3,13.7,0.056,33.0,168.0,0.99825,2.9,0.44,8.7,7
269,6.8,white,0.24,0.37,7.45,0.043,59.0,188.0,0.99579,3.2,0.5,9.4,6
270,10.0,red,0.56,0.24,2.2,0.079,19.0,58.0,0.9991,3.18,0.56,10.1,6
